title,location,legacyCompany,applyUrl,sourceSystem
AutoCAD Drafter (FSI),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/f31affef-06ff-45a0-976b-ebca9a0e4ce2,Rippling
DevOps / Platform Engineer (Level II) (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/5d2a7242-56b5-4199-9e23-15f39a42748c,Rippling
Electronic Technician (SIE),"Panama City Beach, FL",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/b129f5cf-5e26-4b1e-b1df-05dcabf27ec6,Rippling
Future Engineering Opportunities (Highbury Defense Group),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/c7ad97b1-dbf9-4b86-aa00-c95ae0ad74c3,Rippling
Lead Data Analyst (OPUS),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/6c1da7cf-a990-4519-91f0-38643b641095,Rippling
Lead Data Analyst (SIE),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/e40581e7-9c4a-483b-8513-5914c7394278,Rippling
Network Architect Administrator (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/a26230b7-7e4c-4402-b92b-d2c0cbdef5c3,Rippling
Senior DevOps / Platform Engineer (Level III) (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/13ce4da4-70f4-44b0-8aca-fc3ffb977036,Rippling
Senior Fullstack Developer,"Oahu, HI",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/199ebd83-b607-48f1-b07d-433b3ac5c92c,Rippling
Senior Software Engineer/Research Scientist (Venator),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/19af24e9-418e-4ad1-beaa-4bdfbe69cc0f,Rippling
Senior Systems Engineer,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/4e92152d-810e-4873-b550-2beb69d82a2d,Rippling
Senior Teamcenter Application Developer,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/a560533f-7b8f-428f-92ca-080ed80b9a56,Rippling
Software Engineer/Algorithm Developer (Venator),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/9aa761f5-9cc8-48fb-a4b6-e4d679515128,Rippling
Software Engineer/Research Scientist (Venator),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/1c6117b2-1f4f-47e7-8e1d-c4f9c20486f7,Rippling
Systems Engineer,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/6575feae-3d2c-4171-88ca-1124cbabe387,Rippling
Systems Engineer III – Border and Coastal Surveillance (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/dcb48c73-b590-4a8b-befc-12751f9649dd,Rippling
Teamcenter Application Developer,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/2f2cd059-4802-4357-b51f-4d788b1d3ac8,Rippling
Teamcenter Data Architect,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/d5f4d90b-186b-41a8-a105-6c2c3e2e56e6,Rippling
Teamcenter Functional Architect,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/f7746120-876c-47da-b9c3-4d9a7ebcc6a2,Rippling
Instructional Systems Designer (SoarTech),"Ann Arbor, MI; Orlando, FL; +1 more locations",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/a217bfac-79e5-4e06-b297-93ed1dd6ab6a,Rippling
Test Engineer,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/4cfed400-89be-4932-8534-33698dce78b0,Rippling
Testing and Evaluation Lead,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/d9363fde-c1cd-4aad-828a-c9d6133dae57,Rippling
Windchill Application Developer (SIE),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/0d8082ec-66ba-4138-aed1-ef096afc0327,Rippling
Windchill Data Migration Developer,Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/f4087c61-8a17-425f-9527-e0971b5b5f69,Rippling
Windchill Engineer (SIE),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/23e8e07e-92ec-4d4a-8e27-3dc8b4324968,Rippling
Windchill Engineer (SIE),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/2c9aa0e2-83d2-4de5-b536-f11de2f0a930,Rippling
Windchill Infrastructure & System Administrator (SIE),Remote (United States),Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/a4c4c740-aef0-498e-b1ac-3b14aff6bcef,Rippling
Facility Security Officer -VA (SIE),"Falls Church, VA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/0e0e65f7-c3a5-4456-b7e9-4fba9e85ebad,Rippling
Jr. Facility Security Office - NJ (SIE),"Mullica Hill, NJ",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/f5c8526e-f89e-4c43-b2cf-f193c76ad6a0,Rippling
Project Control Analyst,"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/5273e692-e2d6-4e7c-a2d5-d127ef31139f,Rippling
Integrated Master Scheduler (HDG),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/5e2c6ffb-bf2e-4ce9-87a1-09d2c4b2898d,Rippling
Management Analyst III,"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/a8528564-f187-46ff-945f-a82333f47be7,Rippling
PLM Program Manager,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/bb536bc2-0ce5-43fb-9f81-04fde86e39b6,Rippling
Program Management & Shore Maintenance Analyst,"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/03f1e215-ba24-499b-8af7-e66bc4ecc354,Rippling
Program Management & Systems Support Specialist,"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/367e6013-a90e-495f-8367-785d50b8ea09,Rippling
Instructional Systems Designer Intern (SoarTech),"Ann Arbor, MI; Orlando, FL",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/bde841a4-444b-4b7b-bc5c-26b7a4403000,Rippling
Program Analyst I (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/b4d10fcf-b33e-4c45-b864-4660a25c96f0,Rippling
Program Analyst I (FSI),"San Diego, CA",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/4238b68f-5eb1-45da-9f90-2a107cc4ae5a,Rippling
Senior Data Scientist,"Remote (United States); St. Paul, MN",Accelint,https://ats.rippling.com/accelintjobboardtest/jobs/35f98d0e-f920-41a2-b0c3-04e13b20269c,Rippling
Program Manager,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Integration & Test Technician I (Temporary),"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Machine Shop Supervisor,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Braze Technician I - Graveyard Shift,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Braze Technician I - Weekend Shift,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CNC Machinist III - Weekend Shift,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
RF Test Technician II (Temporary Position),"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
RF Test Technician I (Temporary Position),"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Grinder,"Clinton, MA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Business Development Executive - Ground Station Antenna Feeds,"Harbor City, CA, US; +1 More Locations",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Business Development - Satellite Antenna Systems & RF Payloads,"Webster, TX, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CNC Programmer/Machinist III,"Longmont, CO, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Quality Control Inspector I,"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Production Planning and Supply Chain Manager,"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Inside Sales Representative,"Clinton, MA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Embedded Firmware Engineer,"Carson City, NV, US; +7 More Locations",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Electrical Engineer,"Carson City, NV, US; +7 More Locations",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CMM Operator I,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Quality Control Inspector III,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CNC Machinist IV,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CNC Machinist III,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CNC Machinist II,"Jessup, MD, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Deburring Technician,"Harbor City, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Quality Control Inspector I,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
Quality Assurance Engineer II,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
CMM Programmer III,"Newark, CA, US",Vitesse,https://vitessesys.com/careers/#open-positions,ADP (manual export)
